_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,first_review,last_review,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,security_deposit,cleaning_fee,extra_people,guests_included,Total_review_scores_per,Country,Country_Code,Latitude,Longitude,host_id,host_identity_verified,host_location,host_name,host_response_rate,host_total_listings_count,availability_30,availability_365,availability_60,availability_90
10092679,Cozy house at Beyoğlu,Apartment,Private room,Pull-out Sofa,2,1125,flexible,18-02-2019 05:00,08-10-2017 04:00,21-12-2018 05:00,2,1,1,27,2,58,0,0,60,1,57,Turkey,TR,41.03777,28.95825,21331922,TRUE,Turkey,Ali,100,8,3,37,19,37
10096773,Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,Real Bed,2,1125,flexible,06-03-2019 05:00,03-01-2016 05:00,03-01-2016 05:00,2,1,1,1,2,145,0,60,0,1,60,United States,US,40.74577,-74.00074,34607505,TRUE,United States,Scott,0,1,0,0,0,0
10108388,Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Entire home/apt,Real Bed,2,30,moderate,07-03-2019 05:00,30-06-2016 04:00,06-03-2019 05:00,2,1,1,109,2,185,800,120,0,1,60,Australia,AU,-33.87603,151.21346,16187044,TRUE,Australia,Desireé,100,1,5,265,16,35
10109896,THE Place to See Sydney's FIREWORKS,House,Entire home/apt,Real Bed,2,1125,moderate,07-03-2019 05:00,30-06-2016 04:00,07-08-2017 04:00,2,1,1,0,2.5,250,400,150,0,1,0,Australia,AU,-33.86296,151.17956,6517277,FALSE,Australia,Kristin,0,1,0,0,0,0
10112159,Downtown Oporto Inn (room cleaning),Hostel,Private room,Real Bed,1,1125,moderate,16-02-2019 05:00,30-06-2016 04:00,07-08-2017 04:00,2,1,1,0,1,40,0,50,25,2,0,Portugal,PT,41.1543,-8.60867,2649859,TRUE,Portugal,Elisabete,0,2,30,359,60,87
10115921,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,Entire home/apt,Real Bed,1,1125,Strict,18-02-2019 05:00,01-02-2016 05:00,07-08-2017 04:00,4,2,4,3,1,838,0,0,0,1,14,Turkey,TR,41.04841,28.98713,51471538,FALSE,Turkey,Ahmet,100,16,30,365,60,90
10116256,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,18-02-2019 05:00,01-02-2016 05:00,27-08-2017 04:00,6,2,3,0,2,997,0,0,0,1,0,Turkey,TR,41.04772,28.98818,51471538,FALSE,Turkey,Ahmet,100,16,30,365,60,90
10116578,Apartamento zona sul do RJ,Apartment,Entire home/apt,Real Bed,1,1125,flexible,11-02-2019 05:00,01-02-2016 05:00,27-08-2017 04:00,5,3,3,0,1.5,933,0,0,0,1,0,Brazil,BR,-22.93054146,-43.18259548,51915770,FALSE,Brazil,Luiz Rodrigo,0,1,30,365,60,90
10117617,A Casa Alegre é um apartamento T1.,Apartment,Entire home/apt,Real Bed,7,180,moderate,16-02-2019 05:00,19-04-2016 04:00,27-08-2017 04:00,2,1,1,12,2,40,250,15,0,2,55,Portugal,PT,41.3596,-8.75383,51920973,TRUE,Portugal,Manuela,100,1,0,46,0,0
10120414,The LES Apartment,Apartment,Entire home/apt,Real Bed,3,1125,flexible,06-03-2019 05:00,19-04-2016 04:00,19-08-2017 04:00,3,1,2,0,1,150,200,0,0,1,0,United States,US,40.72063,-73.98944,33231070,TRUE,United States,Mert,0,1,0,0,0,0
